Player,Serve Rating,%1stServe,%1stServePointsWon,%2ndServePointsWon,%ServiceGamesWon,AvgACESMatch,AvgDoubleFaultsMatch,Return Rating,%1st Serve Return Points Won,%2nd Serve Return Points Won,%Return Games Won,%Breaks Points Converted,Underpressure Rating,%BreakPointsConverted,%BreaksPointsSaved,%TieBreaks Won,%Deciding Sets Won,%AvgWinLoss,Age,Rank
John Isner,308.5,67.7,79.8,52.7,90.2,21.1,3.0,93.8,20.9,40.0,7.1,25.8,219.1,25.8,69.3,71.1,52.9,0.444,37.0,46.0
Hubert Hurkacz,299.7,63.4,79.2,54.9,89.9,14.0,1.7,125.3,27.2,46.6,16.5,35.0,226.4,35.0,67.7,54.7,69.0,0.684,26.0,9.0
Matteo Berrettini,292.2,62.5,79.6,52.0,88.5,11.5,1.9,129.8,29.5,45.7,18.8,35.8,210.0,35.8,67.1,50.0,57.1,0.5,26.0,23.0
Novak Djokovic,292.1,65.3,77.2,57.0,88.7,6.0,2.1,160.5,33.5,55.9,29.3,41.8,249.7,41.8,64.3,80.0,63.6,0.938,35.0,2.0
Ben Shelton,292.0,60.7,79.3,55.9,89.4,11.3,4.6,118.5,23.8,42.1,13.3,39.3,209.0,39.3,70.5,56.3,42.9,0.545,20.0,39.0
Stefanos Tsitsipas,287.9,63.8,76.5,55.1,86.8,7.8,2.1,141.7,28.3,50.2,21.4,41.8,237.7,41.8,66.0,56.8,73.1,0.813,24.0,3.0
Maxime Cressy,287.8,60.1,79.8,53.1,88.6,15.2,9.0,115.4,23.0,40.9,12.2,39.3,186.9,39.3,64.3,35.7,47.6,0.5,25.0,37.0
Felix Auger-Aliassime,285.9,64.1,77.5,50.6,86.5,10.5,3.3,136.6,30.7,47.6,20.8,37.5,223.2,37.5,66.6,52.4,66.7,0.647,22.0,6.0
Taylor Fritz,284.4,61.5,77.1,53.0,85.5,9.2,1.9,142.2,27.9,52.2,21.9,40.2,215.0,40.2,63.0,58.5,53.3,0.773,25.0,10.0
Casper Ruud,283.0,65.2,74.0,55.2,84.6,6.0,2.0,138.7,28.7,50.0,22.1,37.9,219.0,37.9,62.2,61.0,57.9,0.444,24.0,4.0
Marc-Andrea Huesler,282.9,62.0,76.0,53.0,85.0,8.8,1.9,123.9,23.3,44.9,12.8,42.9,205.1,42.9,60.4,55.6,46.2,0.462,26.0,47.0
Daniil Medvedev,281.5,64.3,75.4,51.4,86.0,7.7,3.3,164.6,32.8,55.2,30.6,46.0,220.5,46.0,68.5,56.0,50.0,0.889,27.0,5.0
Borna Coric,279.3,62.4,74.3,54.5,83.3,6.4,1.6,122.4,25.8,48.9,15.6,32.1,212.1,32.1,59.5,66.7,53.8,0.583,26.0,20.0
Lorenzo Sonego,279.1,67.7,73.5,51.0,82.9,5.7,1.7,132.8,27.4,45.5,17.2,42.7,158.9,42.7,59.5,50.0,6.7,0.385,27.0,59.0
Holger Rune,278.8,64.3,72.6,55.1,85.1,5.1,3.4,144.3,29.6,50.7,23.1,40.9,215.9,40.9,65.9,63.6,45.5,0.667,19.0,8.0
Carlos Alcaraz,278.8,66.3,71.9,55.3,84.4,3.1,2.2,160.6,34.4,53.5,31.4,41.3,235.8,41.3,64.7,55.9,73.9,0.933,19.0,1.0
Alexander Zverev,277.8,70.1,73.8,47.6,82.0,7.7,3.4,141.8,30.6,50.0,22.6,38.6,237.0,38.6,58.3,78.6,61.5,0.5,25.0,15.0
Tallon Griekspoor,277.7,64.0,73.9,51.8,83.2,7.8,3.0,121.5,25.6,46.9,14.8,34.2,190.8,34.2,61.4,57.7,37.5,0.722,26.0,36.0
Andrey Rublev,277.5,61.5,76.1,50.4,83.9,7.8,2.2,139.3,29.9,49.3,21.2,38.9,227.8,38.9,62.2,61.5,65.2,0.611,25.0,7.0
Grigor Dimitrov,276.9,62.7,76.2,51.3,82.6,6.7,2.6,142.7,29.2,50.4,23.2,39.9,194.0,39.9,61.2,42.9,50.0,0.583,31.0,27.0
Roberto Bautista Agut,275.5,66.0,70.7,55.1,82.1,3.4,1.8,142.4,29.2,52.6,23.7,36.9,189.9,36.9,61.9,44.0,47.1,0.533,34.0,28.0
Jack Draper,275.2,58.9,75.2,51.8,84.1,8.1,2.9,146.8,28.7,53.0,25.4,39.7,169.8,39.7,70.8,45.0,14.3,0.636,21.0,43.0
Karen Khachanov,275.2,64.0,72.5,52.1,81.6,7.4,2.4,143.2,29.1,49.3,22.0,42.8,222.4,42.8,64.9,50.0,64.7,0.643,26.0,16.0
Arthur Rinderknech,275.1,65.4,73.3,48.0,82.9,7.8,2.3,115.8,23.9,43.8,12.5,35.6,213.8,35.6,64.3,38.9,75.0,0.25,27.0,72.0
Frances Tiafoe,274.9,58.0,74.5,52.8,83.4,8.5,2.3,135.7,27.4,50.1,20.3,37.9,226.2,37.9,67.1,66.7,54.5,0.778,25.0,14.0
Benjamin Bonzi,274.8,61.5,73.2,52.7,83.2,6.9,2.7,131.5,26.1,49.2,18.8,37.4,190.4,37.4,65.3,44.8,42.9,0.588,26.0,49.0
Stan Wawrinka,272.2,56.7,75.7,51.9,81.5,8.1,1.7,126.5,27.1,45.3,17.2,36.9,204.7,36.9,66.1,42.9,58.8,0.6,37.0,87.0
Jannik Sinner,272.0,57.5,74.6,53.4,83.2,6.0,2.7,157.3,33.1,53.2,27.7,43.3,238.6,43.3,63.5,68.2,63.6,0.8,21.0,11.0
Adrian Mannarino,271.9,60.8,71.4,55.7,80.8,5.0,1.8,136.9,28.0,50.8,20.4,37.7,178.1,37.7,54.7,50.0,35.7,0.563,34.0,62.0
Denis Shapovalov,271.8,60.8,75.5,50.7,82.3,8.1,5.6,135.8,28.3,49.0,20.9,37.6,192.6,37.6,62.1,45.8,47.1,0.455,23.0,30.0
Sebastian Korda,271.6,62.5,71.8,51.4,81.5,6.5,2.1,150.0,31.0,50.5,25.1,43.4,220.1,43.4,63.1,60.7,52.9,0.8,22.0,26.0
Cameron Norrie,271.5,64.6,72.0,50.9,80.9,5.3,2.2,152.3,31.9,52.2,27.0,41.2,235.4,41.2,61.7,61.5,71.0,0.84,27.0,12.0
Oscar Otte,271.1,56.6,77.0,50.2,82.0,9.0,3.7,129.5,27.9,46.3,17.9,37.4,198.2,37.4,67.1,52.0,41.7,0.3,29.0,85.0
J.J. Wolf,270.1,60.9,74.0,50.1,80.2,8.0,3.1,140.1,29.0,48.3,21.1,41.7,208.8,41.7,63.3,53.8,50.0,0.571,24.0,50.0
Lorenzo Musetti,269.1,64.7,69.8,53.8,78.6,4.0,1.8,154.0,30.8,51.6,25.4,46.2,206.3,46.2,55.3,44.8,60.0,0.455,21.0,21.0
Laslo Djere,269.1,60.7,72.6,51.2,81.8,6.3,3.5,136.3,27.2,48.0,21.0,40.1,182.5,40.1,65.7,29.6,47.1,0.563,27.0,58.0
Sebastian Baez,268.4,71.8,65.6,54.1,76.9,1.8,1.8,145.6,31.6,50.3,24.4,39.3,165.3,39.3,56.0,20.0,50.0,0.563,22.0,33.0
Yoshihito Nishioka,268.1,67.0,65.3,56.9,78.3,2.0,1.4,148.5,27.3,55.1,24.5,41.6,229.7,41.6,60.7,52.4,75.0,0.615,27.0,34.0
Tommy Paul,267.8,63.0,71.1,51.4,80.2,4.6,2.5,142.4,30.2,51.2,23.9,37.1,205.6,37.1,62.4,51.9,54.2,0.737,25.0,19.0
Andy Murray,267.8,61.6,72.9,50.1,80.1,5.9,2.8,146.6,29.1,54.0,23.7,39.8,233.0,39.8,60.7,61.9,70.6,0.667,35.0,52.0
Jiri Lehecka,267.5,64.7,69.6,51.9,79.0,4.8,2.5,133.1,27.8,46.1,18.8,40.4,203.4,40.4,62.1,56.5,44.4,0.667,21.0,44.0
Alexander Bublik,267.1,59.0,78.0,44.1,80.5,12.0,6.5,135.7,28.4,45.9,18.2,43.2,195.9,43.2,59.2,40.9,52.6,0.267,25.0,48.0
Miomir Kecmanovic,266.7,63.5,69.0,53.8,77.7,4.1,1.4,146.2,29.2,53.1,23.0,40.9,198.9,40.9,59.4,52.4,46.2,0.5,23.0,35.0
Mackenzie Mcdonald,265.4,65.4,68.3,51.1,77.3,5.2,1.9,149.1,31.4,50.8,25.3,41.6,181.2,41.6,59.8,40.9,38.9,0.632,27.0,55.0
Dominic Thiem,264.7,62.8,68.5,53.4,77.8,4.5,2.3,131.4,28.7,46.6,17.5,38.6,223.0,38.6,57.4,68.2,58.8,0.125,29.0,106.0
Marcos Giron,264.0,62.6,68.8,52.7,76.3,5.0,1.4,129.1,27.9,46.0,17.6,37.6,169.7,37.6,55.0,42.1,35.0,0.533,29.0,71.0
Daniel Evans,262.6,62.4,71.1,50.0,77.3,4.4,2.6,147.6,30.3,51.2,24.0,42.1,200.6,42.1,61.4,40.0,57.1,0.273,32.0,29.0
Filip Krajinovic,262.1,63.9,68.5,51.2,76.6,4.0,2.1,136.9,26.5,49.4,19.0,42.0,226.5,42.0,59.5,50.0,75.0,0.333,31.0,77.0
Emil Ruusuvuori,262.0,65.3,69.6,49.8,76.5,3.8,3.0,144.5,30.0,52.1,23.1,39.3,192.5,39.3,58.8,61.1,33.3,0.467,23.0,54.0
Soonwoo Kwon,261.5,59.8,70.9,50.7,77.6,5.2,2.7,137.5,27.3,50.8,20.0,39.4,217.5,39.4,58.3,58.3,61.5,0.583,25.0,75.0
Albert Ramos-Vinolas,260.1,65.0,66.9,51.6,75.5,2.7,1.6,139.5,28.3,50.1,21.1,40.0,184.7,40.0,64.2,35.0,45.5,0.308,35.0,51.0
Richard Gasquet,259.9,58.1,71.3,50.7,78.0,4.8,3.0,142.8,28.7,51.1,22.8,40.2,215.2,40.2,60.3,50.0,64.7,0.538,36.0,40.0
Alejandro Davidovich Fokina,258.9,66.1,65.8,51.9,74.7,2.9,2.5,152.8,32.0,51.2,27.7,41.9,180.7,41.9,57.6,36.8,44.4,0.588,23.0,25.0
Alex Molcan,258.7,63.0,67.3,52.5,75.2,3.1,2.4,144.2,28.9,51.6,23.2,40.5,200.7,40.5,58.5,58.8,42.9,0.333,25.0,56.0
Dusan Lajovic,257.8,66.5,65.9,50.7,73.6,2.9,1.8,136.4,29.7,49.8,21.1,35.8,188.7,35.8,58.2,58.3,36.4,0.583,32.0,76.0
Botic Van De Zandschulp,257.0,63.1,70.4,46.3,75.3,6.0,4.1,146.9,31.9,49.7,24.5,40.8,229.6,40.8,61.8,68.2,58.8,0.538,27.0,32.0
Alex De Minaur,256.9,58.2,69.7,50.8,77.6,3.1,2.5,159.4,33.7,53.0,29.4,43.3,219.1,43.3,61.3,52.6,61.9,0.706,24.0,18.0
Mikael Ymer,253.8,69.7,63.5,50.3,71.4,1.7,2.8,156.8,34.9,51.0,29.3,41.6,186.8,41.6,54.4,30.8,60.0,0.429,24.0,53.0
Francisco Cerundolo,253.5,62.7,67.0,49.4,74.8,2.6,3.0,149.8,32.9,51.1,26.0,39.8,213.6,39.8,61.7,57.1,55.0,0.5,24.0,31.0
David Goffin,252.3,57.6,70.1,49.1,74.2,4.0,2.7,148.3,32.3,49.8,25.9,40.3,184.8,40.3,60.1,44.4,40.0,0.444,32.0,42.0
Aslan Karatsev,250.3,58.6,69.4,48.6,74.3,4.6,5.2,140.1,29.5,47.8,20.4,42.4,164.8,42.4,56.9,44.4,21.1,0.375,29.0,107.0
Cristian Garin,248.9,62.0,66.6,48.5,71.9,2.7,2.8,141.5,31.2,48.2,24.2,37.9,225.9,37.9,59.2,45.5,83.3,0.5,26.0,82.0
Pedro Martinez,248.3,65.9,63.7,50.2,70.6,1.6,3.7,138.0,28.8,51.3,21.9,36.0,169.7,36.0,59.1,38.9,35.7,0.364,25.0,121.0
Joao Sousa,248.1,61.5,67.2,47.2,71.5,2.9,2.2,132.5,29.9,48.2,19.8,34.6,154.8,34.6,56.0,26.7,37.5,0.2,33.0,156.0
Federico Coria,247.1,67.1,63.1,48.9,67.8,2.8,2.6,156.8,34.1,50.8,28.3,43.6,168.3,43.6,52.5,22.2,50.0,0.364,31.0,67.0
Jaume Munar,243.6,63.4,66.9,44.6,69.3,3.0,3.6,148.4,33.8,47.7,25.4,41.5,168.0,41.5,54.7,33.3,38.5,0.364,25.0,66.0
Bernabe Zapata Miralles,243.5,64.2,63.5,48.0,67.9,2.0,2.1,165.3,34.2,52.3,31.0,47.8,174.2,47.8,52.8,10.0,63.6,0.538,26.0,41.0
Diego Schwartzman,242.0,67.9,61.8,47.7,67.5,1.0,3.9,155.1,33.2,52.4,27.7,41.8,206.5,41.8,58.7,36.8,69.2,0.222,30.0,38.0
