Player,%1stServePointsWon,%2ndServePointsWon,%ServiceGamesWon,%1st Serve Return Points Won,%2nd Serve Return Points Won,%Return Games Won,%Breaks Points Converted,%BreaksPointsSaved,%TieBreaks Won,%AvgWinLoss
John Isner,79.8,52.7,90.2,20.9,40.0,7.1,25.8,69.3,71.1,44.4
Hubert Hurkacz,79.2,54.9,89.9,27.2,46.6,16.5,35.0,67.7,54.7,68.4
Matteo Berrettini,79.6,52.0,88.5,29.5,45.7,18.8,35.8,67.1,50.0,50.0
Novak Djokovic,77.2,57.0,88.7,33.5,55.9,29.3,41.8,64.3,80.0,93.8
Ben Shelton,79.3,55.9,89.4,23.8,42.1,13.3,39.3,70.5,56.3,54.5
Stefanos Tsitsipas,76.5,55.1,86.8,28.3,50.2,21.4,41.8,66.0,56.8,81.3
Maxime Cressy,79.8,53.1,88.6,23.0,40.9,12.2,39.3,64.3,35.7,50.0
Felix Auger-Aliassime,77.5,50.6,86.5,30.7,47.6,20.8,37.5,66.6,52.4,64.700005
Taylor Fritz,77.1,53.0,85.5,27.9,52.2,21.9,40.2,63.0,58.5,77.3
Casper Ruud,74.0,55.2,84.6,28.7,50.0,22.1,37.9,62.2,61.0,44.4
Marc-Andrea Huesler,76.0,53.0,85.0,23.3,44.9,12.8,42.9,60.4,55.6,46.2
Daniil Medvedev,75.4,51.4,86.0,32.8,55.2,30.6,46.0,68.5,56.0,88.9
Borna Coric,74.3,54.5,83.3,25.8,48.9,15.6,32.1,59.5,66.7,58.3
Lorenzo Sonego,73.5,51.0,82.9,27.4,45.5,17.2,42.7,59.5,50.0,38.5
Holger Rune,72.6,55.1,85.1,29.6,50.7,23.1,40.9,65.9,63.6,66.7
Carlos Alcaraz,71.9,55.3,84.4,34.4,53.5,31.4,41.3,64.7,55.9,93.3
Alexander Zverev,73.8,47.6,82.0,30.6,50.0,22.6,38.6,58.3,78.6,50.0
Tallon Griekspoor,73.9,51.8,83.2,25.6,46.9,14.8,34.2,61.4,57.7,72.2
Andrey Rublev,76.1,50.4,83.9,29.9,49.3,21.2,38.9,62.2,61.5,61.1
Grigor Dimitrov,76.2,51.3,82.6,29.2,50.4,23.2,39.9,61.2,42.9,58.3
Roberto Bautista Agut,70.7,55.1,82.1,29.2,52.6,23.7,36.9,61.9,44.0,53.3
Jack Draper,75.2,51.8,84.1,28.7,53.0,25.4,39.7,70.8,45.0,63.6
Karen Khachanov,72.5,52.1,81.6,29.1,49.3,22.0,42.8,64.9,50.0,64.3
Arthur Rinderknech,73.3,48.0,82.9,23.9,43.8,12.5,35.6,64.3,38.9,25.0
Frances Tiafoe,74.5,52.8,83.4,27.4,50.1,20.3,37.9,67.1,66.7,77.8
Benjamin Bonzi,73.2,52.7,83.2,26.1,49.2,18.8,37.4,65.3,44.8,58.8
Stan Wawrinka,75.7,51.9,81.5,27.1,45.3,17.2,36.9,66.1,42.9,60.000004
Jannik Sinner,74.6,53.4,83.2,33.1,53.2,27.7,43.3,63.5,68.2,80.0
Adrian Mannarino,71.4,55.7,80.8,28.0,50.8,20.4,37.7,54.7,50.0,56.300003
Denis Shapovalov,75.5,50.7,82.3,28.3,49.0,20.9,37.6,62.1,45.8,45.5
Sebastian Korda,71.8,51.4,81.5,31.0,50.5,25.1,43.4,63.1,60.7,80.0
Cameron Norrie,72.0,50.9,80.9,31.9,52.2,27.0,41.2,61.7,61.5,84.0
Oscar Otte,77.0,50.2,82.0,27.9,46.3,17.9,37.4,67.1,52.0,30.000002
J.J. Wolf,74.0,50.1,80.2,29.0,48.3,21.1,41.7,63.3,53.8,57.1
Lorenzo Musetti,69.8,53.8,78.6,30.8,51.6,25.4,46.2,55.3,44.8,45.5
Laslo Djere,72.6,51.2,81.8,27.2,48.0,21.0,40.1,65.7,29.6,56.300003
Sebastian Baez,65.6,54.1,76.9,31.6,50.3,24.4,39.3,56.0,20.0,56.300003
Yoshihito Nishioka,65.3,56.9,78.3,27.3,55.1,24.5,41.6,60.7,52.4,61.5
Tommy Paul,71.1,51.4,80.2,30.2,51.2,23.9,37.1,62.4,51.9,73.7
Andy Murray,72.9,50.1,80.1,29.1,54.0,23.7,39.8,60.7,61.9,66.7
Jiri Lehecka,69.6,51.9,79.0,27.8,46.1,18.8,40.4,62.1,56.5,66.7
Alexander Bublik,78.0,44.1,80.5,28.4,45.9,18.2,43.2,59.2,40.9,26.699999
Miomir Kecmanovic,69.0,53.8,77.7,29.2,53.1,23.0,40.9,59.4,52.4,50.0
Mackenzie Mcdonald,68.3,51.1,77.3,31.4,50.8,25.3,41.6,59.8,40.9,63.200005
Dominic Thiem,68.5,53.4,77.8,28.7,46.6,17.5,38.6,57.4,68.2,12.5
Marcos Giron,68.8,52.7,76.3,27.9,46.0,17.6,37.6,55.0,42.1,53.3
Daniel Evans,71.1,50.0,77.3,30.3,51.2,24.0,42.1,61.4,40.0,27.3
Filip Krajinovic,68.5,51.2,76.6,26.5,49.4,19.0,42.0,59.5,50.0,33.3
Emil Ruusuvuori,69.6,49.8,76.5,30.0,52.1,23.1,39.3,58.8,61.1,46.7
Soonwoo Kwon,70.9,50.7,77.6,27.3,50.8,20.0,39.4,58.3,58.3,58.3
Albert Ramos-Vinolas,66.9,51.6,75.5,28.3,50.1,21.1,40.0,64.2,35.0,30.8
Richard Gasquet,71.3,50.7,78.0,28.7,51.1,22.8,40.2,60.3,50.0,53.8
Alejandro Davidovich Fokina,65.8,51.9,74.7,32.0,51.2,27.7,41.9,57.6,36.8,58.8
Alex Molcan,67.3,52.5,75.2,28.9,51.6,23.2,40.5,58.5,58.8,33.3
Dusan Lajovic,65.9,50.7,73.6,29.7,49.8,21.1,35.8,58.2,58.3,58.3
Botic Van De Zandschulp,70.4,46.3,75.3,31.9,49.7,24.5,40.8,61.8,68.2,53.8
Alex De Minaur,69.7,50.8,77.6,33.7,53.0,29.4,43.3,61.3,52.6,70.6
Mikael Ymer,63.5,50.3,71.4,34.9,51.0,29.3,41.6,54.4,30.8,42.899998
Francisco Cerundolo,67.0,49.4,74.8,32.9,51.1,26.0,39.8,61.7,57.1,50.0
David Goffin,70.1,49.1,74.2,32.3,49.8,25.9,40.3,60.1,44.4,44.4
Aslan Karatsev,69.4,48.6,74.3,29.5,47.8,20.4,42.4,56.9,44.4,37.5
Cristian Garin,66.6,48.5,71.9,31.2,48.2,24.2,37.9,59.2,45.5,50.0
Pedro Martinez,63.7,50.2,70.6,28.8,51.3,21.9,36.0,59.1,38.9,36.399998
Joao Sousa,67.2,47.2,71.5,29.9,48.2,19.8,34.6,56.0,26.7,20.0
Federico Coria,63.1,48.9,67.8,34.1,50.8,28.3,43.6,52.5,22.2,36.399998
Jaume Munar,66.9,44.6,69.3,33.8,47.7,25.4,41.5,54.7,33.3,36.399998
Bernabe Zapata Miralles,63.5,48.0,67.9,34.2,52.3,31.0,47.8,52.8,10.0,53.8
Diego Schwartzman,61.8,47.7,67.5,33.2,52.4,27.7,41.8,58.7,36.8,22.2
